physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG3-3,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.51755083105596,37.22928270977444,-8.288268121281519
BCG3-3,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.77185138714556,28.72244220822035,-11.04940917892521
BCG3-3,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.54303880820778,41.67941472090825,-9.863624087299534
BCG3-4,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.29557898646743,28.468115882306066,-5.827463104161367
BCG3-4,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.55611567751488,36.44602615383717,-8.110089523677715
BCG3-4,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.39971616440198,27.920250570464244,-11.479465593937736
BCG3-4,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,51.6423403387826,40.72439713744614,-10.917943201336463
BCG3-5,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,36.4811657954511,30.252445851434103,-6.228719944016994
BCG3-5,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,43.328145252425806,36.99755997354348,-6.3305852788823245
BCG3-5,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,39.36673524901602,28.751046918615668,-10.61568833040035
BCG3-5,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.3103617055221,41.66485634281212,-8.645505362709976
BCG3-6,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,34.458148279921446,27.930058109230394,-6.528090170691051
BCG3-6,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,44.28065506438982,36.686014603017696,-7.594640461372123
BCG3-6,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,40.007648932976,28.331048987795185,-11.676599945180811
BCG3-6,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,50.70098665966429,41.019809736216814,-9.681176923447474
BCG3-7,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.472945622944515,31.216869051116003,-4.256076571828512
BCG3-7,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,45.00733194978173,36.56275993540826,-8.44457201437347
BCG3-7,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,38.78199412193584,29.28169228252207,-9.500301839413769
BCG3-7,iTERO,lab_a_mean,Mean a* (redness),PRIMARY,decrease,49.52441947209276,39.77914761107184,-9.745271861020917
BCG3-8,LABscanner,lab_a_mean,Mean a* (redness),PRIMARY,decrease,35.554034436354144,30.211643367933803,-5.342391068420341
BCG3-8,TRIOS3,lab_a_mean,Mean a* (redness),PRIMARY,decrease,43.82194745023343,38.70725995579443,-5.1146874944390035
BCG3-8,TRIOS5,lab_a_mean,Mean a* (redness),PRIMARY,decrease,41.259951558434025,30.144211978762623,-11.115739579671402
