feature,feature_label,role,term,estimate,standard_error,z_value,p_value,ci95_low,ci95_high,n_rows,n_physical_samples,fit_method,converged,p_value_holm
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS3],-4.368539201480745,0.777992630043308,-5.61514213989092,1.9640072913048563e-08,-5.893376736603223,-2.843701666358267,319,32,powell,True,5.302819686523112e-07
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS5],-3.5109301849613193,0.9637597143173187,-3.642951798881005,0.0002695293248612087,-5.399864514773875,-1.6219958551487632,319,32,powell,True,0.0045819985226405475
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS5],-6.576774653840308,0.7779926300433078,-8.453517938176619,2.826544886055664e-17,-8.101612188962786,-5.05193711871783,319,32,powell,True,1.017556158980039e-15
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Partial]:C(scanner)[T.iTERO],-3.5073192434958096,0.9528424836259953,-3.6809014121084087,0.0002324108614548265,-5.374856194342456,-1.6397822926491625,319,32,powell,True,0.0041833955061868775
lab_chroma_mean,Mean C*ab (chroma),PRIMARY,C(stage)[T.Clean]:C(scanner)[T.iTERO],-6.221744274673419,0.7779926300433078,-7.997176366988309,1.2730482854858598e-15,-7.746581809795897,-4.696906739550942,319,32,powell,True,4.328364170651923e-14
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,Intercept,0.374391978684549,0.03627685740943471,10.320408255296638,5.698035425052206e-25,0.30329064468976197,0.445493312679336,319,32,powell,True,2.3361945242714044e-23
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Partial],-0.25993145328509076,0.06046142900748765,-4.299128511383685,1.7147102910297854e-05,-0.37843367659359184,-0.14142922997658966,319,32,powell,True,0.00037723626402655277
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Clean],-0.40232924083776156,0.04836914320599027,-8.317890584175887,8.954261511278317e-17,-0.49713101948456273,-0.3075274621909604,319,32,powell,True,3.1339915289474107e-15
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(scanner)[T.TRIOS3],0.10753595753932181,0.04836914320599014,2.2232346990592204,0.02619997819436836,0.01273417889252089,0.20233773618612272,319,32,powell,True,0.34059971652678867
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(scanner)[T.TRIOS5],0.20978607401499313,0.04836914320599016,4.337188135038387,1.4431709061955602e-05,0.11498429536819219,0.3045878526617941,319,32,powell,True,0.0003319293084249789
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(scanner)[T.iTERO],0.002318437696634355,0.04836914320599016,0.04793216383347542,0.9617703058097942,-0.0924833409501666,0.0971202163434353,319,32,powell,True,1.0
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(growth_class)[T.Mature],0.08937954860588139,0.024184571617821404,3.695725937110185,0.00021925939386551355,0.04197865925342185,0.13678043795834094,319,32,powell,True,0.0041659284834447575
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS3],-0.18422109426756667,0.08377781355134986,-2.1989245894398066,0.027883284845639247,-0.34842259153172406,-0.020019597003409245,319,32,powell,True,0.34059971652678867
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS3],-0.12428846968904948,0.06840429832227787,-1.8169687101164413,0.06922190457691789,-0.2583584307884478,0.0097814914103488,319,32,powell,True,0.622997141192261
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Partial]:C(scanner)[T.TRIOS5],-0.2593478513774092,0.08470960418464549,-3.0616109456974505,0.002201493895825252,-0.4253756247239578,-0.09332007803086056,319,32,powell,True,0.03302240843737878
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Clean]:C(scanner)[T.TRIOS5],-0.22653537563624218,0.06840429832227789,-3.3117125852084683,0.0009272675823503701,-0.3606053367356405,-0.09246541453684387,319,32,powell,True,0.014836281317605922
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Partial]:C(scanner)[T.iTERO],-0.08372526128665658,0.08377781355134989,-0.9993727185937946,0.31761417054669727,-0.24792675855081406,0.08047623597750089,319,32,powell,True,1.0
color_cluster_1_fraction,Reddest-cluster fraction,SECONDARY,C(stage)[T.Clean]:C(scanner)[T.iTERO],-0.018984192877818433,0.0684042983222779,-0.2775292392939533,0.7813737575163779,-0.15305415397721678,0.1150857682215799,319,32,powell,True,1.0
lab_L_mean,Mean L* (lightness),SECONDARY,Intercept,56.939717492089734,0.3871439795710901,147.07633463697985,0.0,56.18092923529889,57.69850574888058,319,32,lbfgs,True,0.0
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Partial],-2.871930971018718,0.6452398886121267,-4.450950757548598,8.549094546756626e-06,-4.136577914087122,-1.6072840279503138,319,32,lbfgs,True,0.00020517826912215903
lab_L_mean,Mean L* (lightness),SECONDARY,C(stage)[T.Clean],0.246628872126702,0.5161919108897026,0.47778523243732207,0.6328030729629963,-0.7650886823280241,1.2583464265814281,319,32,lbfgs,True,1.0
